Specimen Label 	OTU	ITS
C15_9607                                     	C15	MT127708
C16_9561                                     	C16	MT127709
C17_9522                                     	C17	MT127713
C17_9536                                     	C17	MT127714
C17_9550                                     	C17	MT127715
C17_9592                                     	C17	MT127716
C17_9610                                     	C17	MT127717
C18_9474                                     	C18	MT127718
C19_9652                                     	C19	MT127719
C20_9390                                     	C20	MT127720
C20_9470                                     	C20	MT127721
C20_9513                                     	C20	MT127722
C20_9573                                     	C20	MT127723
C20_9601                                     	C20	MT127724
C21_9503                                     	C21	MT127726
C22_9508                                     	C22	MT127727
C22_9682                                     	C22	MT127728
C23_9687                                     	C23	MT127729
C24_9534                                     	C24	MT127730
C24_9535                                     	C24	MT127731
C24_9575                                     	C24	MT127732
C24_9621                                     	C24	MT127733
C25_9554                                     	C25	MT127734
C25_9661                                     	C25	MT127735
C25_OUTGRP_AJ249574_Thigginsiae              	C25	AJ249574
C26_9469                                     	C26	MT127736
C26_9482                                     	C26	MT127737
C26_9563                                     	C26	MT127739
C26_9611                                     	C26	MT127740
C26_9662                                     	C26	MT127741
C27_9502                                     	C27	MT127742
C27_9628                                     	C27	MT127743
C28_9473                                     	C28	MT127744
C29_9556                                     	C29	MT127745
C30_9505                                     	C30	MT127746
C30_9568                                     	C30	MT127747
C30_9574                                     	C30	MT127748
C31_9397                                     	C31	MT127749
C31_9399                                     	C31	MT127750
C31_9468                                     	C31	MT127751
I01_L1380_culture_of_L1103                   	I01	KJ754208
I01_L1652_culture_L1211_Norway               	I01	KJ754209
I01_L46XfaUSACalifornia                      	I01	AJ969525
I01_L68XfaCHChur                             	I01	AJ969533
I01_MH_suboli2_usa_CO_cort_4123              	I01	KR913474
I02_ME_subau_canada_BC_cort_4681             	I02	KR913854
I02_ME_subau_usa_WA_cort_4294                	I02	KR913886
I02_MH_oliva_russia_Khab_cort_5984           	I02	KR913919
I02_MH_oliva_russia_Prim_cort_5978           	I02	KR913922
I02_MH_oliva_usa_AK_cort_4869                	I02	KR913933
I05_AJ249568_Tgelatinosa                     	I05	AJ249568
I05_MH_trab_usa_MN_cort_5769                 	I05	KR914020
I05_P270IaTchryECanaryIslands                	I05	AJ969579
I05_P57IaXwebUSADelaware                     	I05	AJ969532
I05_Z68697_Tgelatinosa                       	I05	Z68697
I06_MH_infum_canada_BC_saxi_4834             	I06	KR914029
I06_MH_infum_canada_BC_saxi_4842             	I06	KR914030
I06_MH_infum_norway_Tromso_saxi_4502         	I06	KR914031
I06_MH_infum_usa_AK_saxi_4888                	I06	KR914032
I06_MO_panniformis_russia_ukn_saxi_5971      	I06	KR914034
I07_ME_alber_usa_MN_cort_5773                	I07	KR914035
I07_MH_olioides1_usa_AK_cort_4891            	I07	KR914036
I07_MH_olivoides1_usa_AK_cort_5235           	I07	KR914037
I07_MH_septent_usa_AK_cort_5253              	I07	KR914038
I08_L1199_Trebouxia_Tephro_Peru_ITSp         	I08	KJ754205
I08_L1201_ITSp_Peru                          	I08	KJ754206
I08_L1203_Trebouxia_Tephro_Sudamerica_Peru_IT	I08	KJ754207
I08_MH_oliva_china_heil_cort_3657            	I08	KR914040
I08_MH_oliva_china_heil_cort_3662            	I08	KR914041
I09_MH_halei_usa_NC_cort_4008                	I09	KR914044
I09_MH_halei_usa_NC_cort_4009                	I09	KR914045
I09_MH_halei_usa_VT_cort_4011                	I09	KR914046
I10_MH_ushua_argentina_unk_saxi_6045         	I10	KR914047
I10_MH_ushua_chile_unk_saxi_6046             	I10	KR914048
I10_MH_ushua_chile_unk_saxi_6047             	I10	KR914049
I11_MH_oliva_russia_Prim_cort_6012_2         	I11	KR914050
I11_MH_suboli2_usa_AZ_cort_4662              	I11	KR914051
I12_MH_oliva_russia_Prim_cort_5977           	I12	KR914052
I12_MH_oliva_russia_Prim_cort_5998_2         	I12	KR914053
I13_PUN_cas_usa_OH_cort_3161                 	I13	KR914054
I14_MH_oliva_russia_Prim_cort_5973_ITSCOX2   	I14	KR914055
I15_9614                                     	I15	MT127759
I15_9665                                     	I15	MT127760
I15_9666                                     	I15	MT127761
I15_9716                                     	I15	MT127762
I15_PUN_rud_kenya_unk_cort_1195              	I15	KR914056
I16_9498                                     	I16	MT127763
I16_EU717912_uncult_Trebouxia                	I16	EU717912
I16_EU717913_uncult_Trebouxia                	I16	EU717913
I17_9377                                     	I17	MT127764
I17_9511                                     	I17	MT127765
I17_9514                                     	I17	MT127766
I17_9520                                     	I17	MT127768
I17_9525                                     	I17	MT127767
I18_9570                                     	I18	MT127775
I18_9640                                     	I18	MT127776
I18_9719                                     	I18	MT127777
I18_9720                                     	I18	MT127778
I18_L1177_ITSp_Peru                          	I18	KJ754203
I27_L1178_ITSp_Peru                          	I27	KJ754204
S01_AF242464_Tjamesii_letharii5              	S01	AF242464
S01_LE_lupina_usa_CA_cort_FJ170679_8820      	S01	FJ170679
S01_LE_lupina_usa_OR_cort_FJ170522_8819      	S01	FJ170522
S01_LE_lupina_usa_WA_cort_FJ170723_9091      	S01	FJ170723
S01_LE_lupina_usa_WY_cort_FJ170493_8825      	S01	FJ170493
S02_EU551543_Trebouxia_simplex_TephroAtra    	S02	EU551543
S02_JN204809_Tjamesii_Tuerk44692             	S02	JN204809
S02_MO_disjuncta_greenland_NW_saxi_3956      	S02	KR914071
S02_MO_disjuncta_usa_AK_saxi_5970            	S02	KR914076
S02_S03_MH_exula_usa_WA_cort_4282            	S02	KR914098
S04_MH_exata_sweden_skane_cort_3926          	S04	KR914113
S04_MH_exula_turkey_unk_cort_4099            	S04	KR914130
S04_MH_exula_usa_AK_cort_4866                	S04	KR914136
S04_MH_exula_usa_MI_cort_5057                	S04	KR914150
S04_MH_exula_usa_MN_cort_5768                	S04	KR914151
S05_LE_vulpina_usa_CA_cort_FJ170747_9782     	S05	FJ170746
S05_MH_exula_canada_BC_cort_4637             	S05	KR914164
S05_MH_exula_usa_ID_cort_4346                	S05	KR914165
S05_MH_exula_usa_WA_cort_4349                	S05	KR914166
S05_MH_subeleg_usa_WA_cort_5225              	S05	KR914168
S06_MH_eltula_usa_CO_cort_4212_ITS           	S06	KR914169
S06_MH_exula_canada_YK_cort_4853             	S06	KR914173
S06_MH_exula_usa_CO_cort_4221                	S06	KR914180
S06_MH_exula_usa_UT_cort_3776                	S06	KR914182
S09_GQ375351_Cetraria_aculeata               	S09	GQ375351
S09_JX474334_from_Lsallia_pustul             	S09	JX474334
S09_JX474349_from_Lsallia_pustul             	S09	JX474349
S09_JX474357_from_Lsallia_pustul             	S09	JX474357
S09_Las_pus_Hungary_HAP16                    	S09	KJ623942
S10_Las_pus_CzechRep_HAP01                   	S10	KJ623927
S10_Las_pus_Germany_HAP06                    	S10	KJ623932
S10_Las_pus_Germany_HAP08                    	S10	KJ623934
S10_Las_pus_Norway_HAP03                     	S10	KJ623929
S10_Las_pus_Poland_HAP04                     	S10	KJ623930
S10_Las_pus_Poland_HAP05                     	S10	KJ623931
S12_GU124701_ex_Cetraria_aculeata            	S12	GU124701
S13_FJ626727_Trebouxia_brindabellae_SAG2206  	S13	FJ626727
S14_L1136                                    	S14	KJ754220
S15_L1138                                    	S15	KJ754221
S18_Las_pus_Norway_HAP21                     	S18	KJ623947
S19_L1889_Trebouxia_ITSp                     	S19	KJ754227
S19_L1929_Trebouxia_ITSp                     	S19	KJ754234
S20_Las_pus_Germany_HAP11                    	S20	KJ623937
S20_Las_pus_Italy_HAP10                      	S20	KJ623936
S20_Las_pus_Spain_HAP12                      	S20	KJ623938
S21_JN204749_URa1_Tuerk35604                 	S21	JN204749
S21_JN204771_URa1_Tuerk42992                 	S21	JN204771
S21_JN204811_URa1_Tuerk44712                 	S21	JN204811
S21_JN204812_URa1_Tuerk44727                 	S21	JN204812
S21_JX036273_Trebouxia_Austrolecia_hap17     	S21	JX036273
S22_L164Bryoriatenuis                        	S22	KJ576669
S22_L183Bryoriabicolor                       	S22	KJ576641
S22_S70Bryoriatenuis                         	S22	KJ576670
S23_S23Bryoriabicolor                        	S23	KJ576642
Myrmecia sp. 1 IM-2024	Myrmecia	PQ154957
