ptg000001l	2894000	726	ptg000001l	OK513182.1	90.792	543	50	0	5060	5602	132	674	0.0
ptg000001l	173387	294	ptg000001l	LC589201.1	81.267	363	68	0	2111642	2112004	138	500	5.04e-71
ptg000001l	3981	272	ptg000001l	XM_021812358.1	80.055	366	73	0	2111640	2112005	639	1004	2.36e-64
ptg000001l	1825957	268	ptg000001l	MT439019.1	79.839	372	71	4	2030190	2030559	728	359	3.05e-63
ptg000001l	94328	263	ptg000001l	XM_042601639.1	80.588	340	66	0	2111640	2111979	568	907	1.42e-61
ptg000001l	94328	259	ptg000001l	XM_042606976.1	80.723	332	64	0	2111640	2111971	570	901	1.84e-60
ptg000001l	1010633	233	ptg000001l	LR792836.1	84.810	237	30	5	2112297	2112530	3713973	3713740	1.11e-52
ptg000001l	1010633	233	ptg000001l	LR761621.1	84.810	237	30	5	2112297	2112530	3713973	3713740	1.11e-52
ptg000001l	1010633	233	ptg000001l	LR994620.1	84.810	237	30	5	2112297	2112530	3713973	3713740	1.11e-52
ptg000001l	4432	230	ptg000001l	XM_010273604.2	84.167	240	34	3	2112286	2112523	1104	1341	1.44e-51
ptg000002l	300845	1201	ptg000002l	MK005126.1	99.545	659	3	0	6142547	6143205	879	221	0.0
ptg000002l	1229085	1201	ptg000002l	JX169843.1	99.545	659	3	0	6142547	6143205	912	254	0.0
ptg000002l	171245	1201	ptg000002l	JQ627444.1	99.545	659	3	0	6142547	6143205	779	121	0.0
ptg000002l	171245	1201	ptg000002l	JQ627443.1	99.545	659	3	0	6142547	6143205	784	126	0.0
ptg000002l	171245	1201	ptg000002l	JQ627435.1	99.545	659	3	0	6142547	6143205	781	123	0.0
ptg000002l	160068	1201	ptg000002l	EU123942.1	99.545	659	3	0	6142547	6143205	878	220	0.0
ptg000002l	100272	1201	ptg000002l	JN003187.1	99.545	659	3	0	6142547	6143205	831	173	0.0
ptg000002l	100272	1201	ptg000002l	JN003179.1	99.545	659	3	0	6142547	6143205	831	173	0.0
ptg000002l	100272	1201	ptg000002l	JN003171.1	99.545	659	3	0	6142547	6143205	831	173	0.0
ptg000002l	100272	1201	ptg000002l	JN003170.1	99.545	659	3	0	6142547	6143205	831	173	0.0
ptg000003l	2894000	501	ptg000003l	OK513182.1	77.651	877	161	28	17933	18788	2494	3356	3.24e-133
ptg000003l	479544	381	ptg000003l	EU087910.1	82.589	448	63	13	85888	86329	439	1	4.40e-97
ptg000003l	554065	357	ptg000003l	XM_005846437.1	79.960	504	86	13	2292827	2293322	1680	1184	7.42e-90
ptg000003l	574566	326	ptg000003l	XM_005648121.1	86.424	302	35	6	85828	86126	411	113	2.09e-80
ptg000003l	574566	318	ptg000003l	XM_005645617.1	78.427	496	101	5	2292830	2293322	1691	1199	3.50e-78
ptg000003l	1917417	315	ptg000003l	BK014551.1	85.127	316	37	9	2456027	2456336	312	1	4.53e-77
ptg000003l	2315456	313	ptg000003l	AP025001.1	82.778	360	53	9	85763	86119	579200	578847	1.63e-76
ptg000003l	344056	291	ptg000003l	BT080819.1	84.459	296	44	2	85832	86126	430	136	7.63e-70
ptg000003l	880429	287	ptg000003l	OW028584.1	84.722	288	42	2	85829	86115	25207899	25208185	9.87e-69
