target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3196.81	46	12.077
GTX0536PRED_000002-T1	2401	2149.81	189	73.7871
GTX0536PRED_000003-T1	2569	2317.81	159	57.5755
GTX0536PRED_000004-T1	4411	4159.81	634	127.919
GTX0536PRED_000005-T1	1071	819.813	92	94.1873
GTX0536PRED_000006-T1	966	714.813	49	57.5338
GTX0536PRED_000007-T1	1876	1624.81	1	0.516554
GTX0536PRED_000008-T1	1378	1126.81	111	82.6781
GTX0536PRED_000009-T1	1655	1403.81	10	5.97874
GTX0536PRED_000010-T1	1264	1012.81	221	183.14
GTX0536PRED_000011-T1	1332	1080.81	97.3629	75.607
GTX0536PRED_000012-T1	1041	789.813	0	0
GTX0536PRED_000013-T1	1158	906.813	31	28.6922
GTX0536PRED_000014-T1	486	234.974	0	0
GTX0536PRED_000015-T1	2188	1936.81	96	41.6009
GTX0536PRED_000016-T1	1347	1095.81	93	71.2305
GTX0536PRED_000017-T1	3621	3369.81	148	36.8617
GTX0536PRED_000018-T1	2060	1808.81	37	17.1683
GTX0536PRED_000019-T1	2023	1771.81	30	14.2109
GTX0536PRED_000020-T1	4062	3810.81	146	32.1554
GTX0536PRED_000020-T2	2977	2725.81	0	0
GTX0536PRED_000021-T1	3498	3246.81	42	10.857
GTX0536PRED_000022-T1	1038	786.813	0	0
GTX0536PRED_000022-T2	1051	799.813	6.61257	6.93907
GTX0536PRED_000022-T3	899	647.813	3.38743	4.38874
GTX0536PRED_000023-T1	2398	2146.81	118	46.1325
GTX0536PRED_000024-T1	302	68.8602	131	1596.7
GTX0536PRED_000025-T1	1264	1012.81	1	0.828686
GTX0536PRED_000026-T1	1095	843.813	1	0.994657
GTX0536PRED_000027-T1	339	95.8358	0	0
GTX0536PRED_000028-T1	5616	5364.81	0	0
GTX0536PRED_000029-T1	2591	2339.81	37	13.2721
GTX0536PRED_000030-T1	1413	1161.81	10	7.22409
GTX0536PRED_000031-T1	696	444.813	0	0
GTX0536PRED_000032-T1	1778	1526.81	16	8.79535
GTX0536PRED_000033-T1	7630	7378.81	27	3.07112
GTX0536PRED_000034-T1	2862	2610.81	31	9.96564
GTX0536PRED_000035-T1	405	155.359	0	0
GTX0536PRED_000036-T1	417	166.864	0	0
GTX0536PRED_000037-T1	1875	1623.81	0	0
GTX0536PRED_000038-T1	3714	3462.81	0	0
GTX0536PRED_000038-T2	4256	4004.81	10	2.09574
GTX0536PRED_000039-T1	339	95.8358	0	0
GTX0536PRED_000040-T1	873	621.813	10	13.4977
GTX0536PRED_000041-T1	336	93.4982	0	0
GTX0536PRED_000042-T1	273	52.189	0	0
GTX0536PRED_000043-T1	510	258.89	0	0
GTX0536PRED_000044-T1	213	32.5735	15	386.496
GTX0536PRED_000045-T1	495	243.941	977	3361.46
GTX0536PRED_000046-T1	1381	1129.81	48.2877	35.8714
GTX0536PRED_000047-T1	1544	1292.81	8.38255	5.44201
GTX0536PRED_000047-T2	1281	1029.81	0.329804	0.268792
GTX0536PRED_000048-T1	8171	7919.81	122	12.929
GTX0536PRED_000049-T1	666	414.813	0	0
GTX0536PRED_000050-T1	668	416.813	1138	2291.5
GTX0536PRED_000051-T1	3192	2940.81	1	0.285399
GTX0536PRED_000052-T1	576	324.813	7	18.0877
GTX0536PRED_000053-T1	771	519.813	1	1.61463
GTX0536PRED_000054-T1	2635	2383.81	4	1.40834
GTX0536PRED_000055-T1	911	659.813	194	246.774
GTX0536PRED_000056-T1	1623	1371.81	481	294.286
GTX0536PRED_000057-T1	1089	837.813	2984	2989.31
GTX0536PRED_000058-T1	7803	7551.81	75	8.33545
GTX0536PRED_000059-T1	879	627.813	0	0
GTX0536PRED_000060-T1	2399	2147.81	2	0.781543
GTX0536PRED_000060-T2	2711	2459.81	0	0
GTX0536PRED_000061-T1	303	69.5198	0	0
GTX0536PRED_000062-T1	2659	2407.81	10	3.48575
GTX0536PRED_000063-T1	3421	3169.81	115	30.4497
GTX0536PRED_000064-T1	2051	1799.81	131	61.089
GTX0536PRED_000065-T1	1527	1275.81	0	0
GTX0536PRED_000066-T1	3023	2771.81	18	5.45039
GTX0536PRED_000066-T2	1699	1447.81	0	0
GTX0536PRED_000067-T1	4410	4158.81	0	0
