GTX0536PRED_000001-T1	3448	3193.39	132	31.9083	XTE2
GTX0536PRED_000002-T1	2401	2146.39	305	109.692	XTE2
GTX0536PRED_000003-T1	2569	2314.39	122	40.6917	XTE2
GTX0536PRED_000004-T1	4411	4156.39	633	117.563	XTE2
GTX0536PRED_000005-T1	1071	816.392	98	92.6638	XTE2
GTX0536PRED_000006-T1	966	711.392	47	51.0001	XTE2
GTX0536PRED_000007-T1	1876	1621.39	0	0	XTE2
GTX0536PRED_000008-T1	1378	1123.39	136	93.4523	XTE2
GTX0536PRED_000009-T1	1655	1400.39	3	1.65369	XTE2
GTX0536PRED_000010-T1	1264	1009.39	164	125.42	XTE2
GTX0536PRED_000011-T1	1332	1077.39	66.3894	47.5672	XTE2
GTX0536PRED_000012-T1	1041	786.392	0	0	XTE2
GTX0536PRED_000013-T1	1158	903.392	36	30.7616	XTE2
GTX0536PRED_000014-T1	486	231.73	0	0	XTE2
GTX0536PRED_000015-T1	2188	1933.39	114	45.5164	XTE2
GTX0536PRED_000016-T1	1347	1092.39	82	57.9453	XTE2
GTX0536PRED_000017-T1	3621	3366.39	107	24.5359	XTE2
GTX0536PRED_000018-T1	2060	1805.39	71	30.3577	XTE2
GTX0536PRED_000019-T1	2023	1768.39	24	10.4765	XTE2
GTX0536PRED_000020-T1	4062	3807.39	213	43.1852	XTE2
GTX0536PRED_000020-T2	2977	2722.39	0	0	XTE2
GTX0536PRED_000021-T1	3498	3243.39	42	9.99614	XTE2
GTX0536PRED_000022-T1	1038	783.392	0	0	XTE2
GTX0536PRED_000022-T2	1051	796.392	11.6146	11.2579	XTE2
GTX0536PRED_000022-T3	899	644.392	1.38544	1.65967	XTE2
GTX0536PRED_000023-T1	2398	2143.39	101	36.3749	XTE2
GTX0536PRED_000024-T1	302	65.7943	67	786.085	XTE2
GTX0536PRED_000025-T1	1264	1009.39	31.4017	24.0146	XTE2
GTX0536PRED_000026-T1	1095	840.392	4.5983	4.22375	XTE2
GTX0536PRED_000027-T1	339	92.4002	0	0	XTE2
GTX0536PRED_000028-T1	5616	5361.39	1	0.143981	XTE2
GTX0536PRED_000029-T1	2591	2336.39	15	4.95596	XTE2
GTX0536PRED_000030-T1	1413	1158.39	5	3.33194	XTE2
GTX0536PRED_000031-T1	696	441.44	0	0	XTE2
GTX0536PRED_000032-T1	1778	1523.39	9	4.56051	XTE2
GTX0536PRED_000033-T1	7630	7375.39	24	2.51194	XTE2
GTX0536PRED_000034-T1	2862	2607.39	25	7.40144	XTE2
GTX0536PRED_000035-T1	405	151.875	0	0	XTE2
GTX0536PRED_000036-T1	417	163.432	0	0	XTE2
GTX0536PRED_000037-T1	1875	1620.39	0	0	XTE2
GTX0536PRED_000038-T1	3714	3459.39	0	0	XTE2
GTX0536PRED_000038-T2	4256	4001.39	22	4.24418	XTE2
