Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein ABBQ38_013558 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,600,600,99%,0.0,87.92,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3149732.1?report=genbank&log$=prottop&blast_rank=1&RID=ZUJAX3Z9013"",""KAL3149732.1"")"
hypothetical protein ABBQ32_000802 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,593,593,99%,0.0,87.01,331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3146560.1?report=genbank&log$=prottop&blast_rank=2&RID=ZUJAX3Z9013"",""KAL3146560.1"")"
hypothetical protein ABBQ38_006359 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,491,491,100%,7e-172,70.57,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3134508.1?report=genbank&log$=prottop&blast_rank=3&RID=ZUJAX3Z9013"",""KAL3134508.1"")"
NAD(P)-binding Rossmann-fold superfamily protein [Klebsormidium nitens],Klebsormidium nitens,463,463,99%,1e-160,72.46,345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAQ82652.1?report=genbank&log$=prottop&blast_rank=4&RID=ZUJAX3Z9013"",""GAQ82652.1"")"
hypothetical protein ABBQ38_000601 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,444,444,99%,6e-153,63.69,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3131309.1?report=genbank&log$=prottop&blast_rank=5&RID=ZUJAX3Z9013"",""KAL3131309.1"")"
hypothetical protein WJX82_001478 [Trebouxia sp. C0006],Trebouxia sp. C0006,440,440,98%,1e-151,61.31,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0043772.1?report=genbank&log$=prottop&blast_rank=6&RID=ZUJAX3Z9013"",""KAL0043772.1"")"
MAG: hypothetical protein FRX49_09608 [Trebouxia sp. A1-2],Trebouxia sp. A1-2,439,439,100%,2e-151,65.17,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA6420446.1?report=genbank&log$=prottop&blast_rank=7&RID=ZUJAX3Z9013"",""KAA6420446.1"")"
NAD(P)-binding Rossmann-fold superfamily protein [Klebsormidium nitens],Klebsormidium nitens,419,419,100%,4e-143,63.91,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAQ78931.1?report=genbank&log$=prottop&blast_rank=8&RID=ZUJAX3Z9013"",""GAQ78931.1"")"
hypothetical protein CVIRNUC_005500 [Coccomyxa viridis],Coccomyxa viridis,416,416,99%,2e-142,63.86,334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK0781896.1?report=genbank&log$=prottop&blast_rank=9&RID=ZUJAX3Z9013"",""CAK0781896.1"")"
hypothetical protein WJX82_003735 [Trebouxia sp. C0006],Trebouxia sp. C0006,417,417,98%,7e-142,64.22,391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0053287.1?report=genbank&log$=prottop&blast_rank=10&RID=ZUJAX3Z9013"",""KAL0053287.1"")"
