Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Trebouxia sp. SL0000003 genome assembly, chromosome: 4",Trebouxia sp. SL0000003,243,243,86%,2e-66,36.70,3945250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ234909.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZWD4B883013"",""OZ234909.1"")"
"PREDICTED: Zingiber officinale uncharacterized LOC121998044 (LOC121998044), mRNA",Zingiber officinale,125,125,47%,1e-26,39.35,2059,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042552768.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZWD4B883013"",""XM_042552768.1"")"
"PREDICTED: Zingiber officinale uncharacterized LOC121990554 (LOC121990554), mRNA",Zingiber officinale,125,125,47%,1e-26,39.35,2080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042544672.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZWD4B883013"",""XM_042544672.1"")"
"PREDICTED: Ipomoea nil uncharacterized LOC109186749 (LOC109186749), mRNA",Ipomoea nil,121,121,61%,2e-25,33.33,1925,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019336867.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZWD4B883013"",""XM_019336867.1"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC9650688 (LOC9650688), mRNA",Selaginella moellendorffii,121,121,48%,3e-25,36.32,1937,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002992073.2?report=genbank&log$=nucltop&blast_rank=5&RID=ZWD4B883013"",""XM_002992073.2"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC9638764 (LOC9638764), mRNA",Selaginella moellendorffii,121,121,48%,3e-25,36.32,1917,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002977078.2?report=genbank&log$=nucltop&blast_rank=6&RID=ZWD4B883013"",""XM_002977078.2"")"
"PREDICTED: Rhododendron vialii uncharacterized LOC131333435 (LOC131333435), mRNA",Rhododendron vialii,120,120,45%,6e-25,37.31,1679,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_058367955.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZWD4B883013"",""XM_058367955.1"")"
"PREDICTED: Ipomoea triloba uncharacterized LOC116012758 (LOC116012758), mRNA",Ipomoea triloba,119,119,51%,1e-24,37.72,1862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_031252411.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZWD4B883013"",""XM_031252411.1"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC9645310 (LOC9645310), mRNA",Selaginella moellendorffii,120,120,48%,1e-24,38.03,2505,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002975718.2?report=genbank&log$=nucltop&blast_rank=9&RID=ZWD4B883013"",""XM_002975718.2"")"
"PREDICTED: Selaginella moellendorffii uncharacterized LOC9642624 (LOC9642624), mRNA",Selaginella moellendorffii,119,119,48%,2e-24,38.03,2412,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002973667.2?report=genbank&log$=nucltop&blast_rank=10&RID=ZWD4B883013"",""XM_002973667.2"")"
"Musa acuminata subsp. malaccensis strain Doubled-haploid Pahang (DH-Pahang) genome assembly, chromosome: A11",Musa acuminata subsp. malaccensis,120,193,61%,2e-24,32.86,34441343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HG996475.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZWD4B883013"",""HG996475.1"")"
"PREDICTED: Musa acuminata AAA Group uncharacterized LOC103971705 (LOC103971705), transcript variant X2, mRNA",Musa acuminata AAA Group,119,119,61%,2e-24,32.86,2001,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018820338.2?report=genbank&log$=nucltop&blast_rank=12&RID=ZWD4B883013"",""XM_018820338.2"")"
