Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Trebouxia decolorans clone contig_699 putative sulfite efflux pump/TDT transporter-like gene, partial sequence",Trebouxia decolorans,609,609,100%,0.0,78.66,4048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF573967.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZUJACXKR016"",""KF573967.1"")"
"Trebouxia sp. SL0000003 genome assembly, chromosome: 13",Trebouxia sp. SL0000003,599,843,100%,0.0,77.12,2733792,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ234918.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZUJACXKR016"",""OZ234918.1"")"
"Fonsecaea multimorphosa CBS 102226 uncharacterized protein (Z520_11319), partial mRNA",Fonsecaea multimorphosa CBS 102226,306,306,95%,2e-96,43.40,1347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016781808.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZUJACXKR016"",""XM_016781808.1"")"
"Cladophialophora bantiana CBS 173.52 uncharacterized protein (Z519_03823), partial mRNA",Cladophialophora bantiana CBS 173.52,304,304,95%,9e-96,43.13,1332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016761570.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZUJACXKR016"",""XM_016761570.1"")"
"Cladophialophora psammophila CBS 110553 uncharacterized protein (A1O5_08830), partial mRNA",Cladophialophora psammophila CBS 110553,303,303,94%,2e-95,43.24,1329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_007749411.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZUJACXKR016"",""XM_007749411.1"")"
"Fonsecaea nubica hypothetical protein (AYO20_03805), partial mRNA",Fonsecaea nubica,301,301,95%,1e-94,42.05,1335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_022642105.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZUJACXKR016"",""XM_022642105.1"")"
"Rhinocladiella mackenziei CBS 650.93 uncharacterized protein (Z518_05881), partial mRNA",Rhinocladiella mackenziei CBS 650.93,300,300,94%,4e-94,42.93,1329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_013416691.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZUJACXKR016"",""XM_013416691.1"")"
"Diplodia seriata Plasma membrane sulfite pump involved in sulfite metabolism (SSU1_2), partial mRNA",Diplodia seriata,298,298,96%,1e-93,44.07,1290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_066776500.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZUJACXKR016"",""XM_066776500.1"")"
"Exophiala spinifera uncharacterized protein (PV08_08146), partial mRNA",Exophiala spinifera,298,298,87%,2e-93,43.70,1347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016382472.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZUJACXKR016"",""XM_016382472.1"")"
"Exophiala xenobiotica uncharacterized protein (PV05_07847), partial mRNA",Exophiala xenobiotica,297,297,95%,6e-93,40.97,1350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_013457316.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZUJACXKR016"",""XM_013457316.1"")"
