Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein WJX77_000681 [Trebouxia sp. C0004],Trebouxia sp. C0004,342,342,99%,6e-106,80.61,1252,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0039527.1?report=genbank&log$=prottop&blast_rank=1&RID=ZVA8TM44016"",""KAL0039527.1"")"
MAG: plasma membrane-type proton ATPase [Trebouxia sp. A1-2],Trebouxia sp. A1-2,333,333,99%,9e-104,79.59,1095,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA6419448.1?report=genbank&log$=prottop&blast_rank=2&RID=ZVA8TM44016"",""KAA6419448.1"")"
hypothetical protein WJX82_010447 [Trebouxia sp. C0006],Trebouxia sp. C0006,333,333,99%,1e-103,79.59,1076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0045575.1?report=genbank&log$=prottop&blast_rank=3&RID=ZVA8TM44016"",""KAL0045575.1"")"
hypothetical protein WJX79_008717 [Trebouxia sp. C0005],Trebouxia sp. C0005,335,335,99%,1e-103,80.10,1212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0034097.1?report=genbank&log$=prottop&blast_rank=4&RID=ZVA8TM44016"",""KAL0034097.1"")"
hypothetical protein ABBQ32_008185 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,277,277,91%,9e-83,77.78,1094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3133685.1?report=genbank&log$=prottop&blast_rank=5&RID=ZVA8TM44016"",""KAL3133685.1"")"
hypothetical protein ABBQ38_002088 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,273,273,91%,2e-81,76.67,1091,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3143237.1?report=genbank&log$=prottop&blast_rank=6&RID=ZVA8TM44016"",""KAL3143237.1"")"
Plasma membrane ATPase [Coccomyxa sp. Obi],Coccomyxa sp. Obi,164,164,98%,1e-42,48.24,1058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA47159.1?report=genbank&log$=prottop&blast_rank=7&RID=ZVA8TM44016"",""BDA47159.1"")"
hypothetical protein CVIRNUC_010971 [Coccomyxa viridis],Coccomyxa viridis,162,162,94%,9e-42,49.22,1076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK0787749.1?report=genbank&log$=prottop&blast_rank=8&RID=ZVA8TM44016"",""CAK0787749.1"")"
PMA1 [Scenedesmus sp. PABB004],Scenedesmus sp. PABB004,160,160,88%,3e-41,48.33,2864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF8059373.1?report=genbank&log$=prottop&blast_rank=9&RID=ZVA8TM44016"",""KAF8059373.1"")"
g7674 [Coccomyxa viridis],Coccomyxa viridis,160,160,94%,4e-41,46.91,1080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL5224909.1?report=genbank&log$=prottop&blast_rank=10&RID=ZVA8TM44016"",""CAL5224909.1"")"
g11918 [Coccomyxa elongata],Coccomyxa elongata,157,157,98%,5e-40,47.00,1111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL8472375.1?report=genbank&log$=prottop&blast_rank=11&RID=ZVA8TM44016"",""CAL8472375.1"")"
hypothetical protein WJX75_009176 [Coccomyxa subellipsoidea],Coccomyxa subellipsoidea,156,156,91%,1e-39,45.79,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9905068.1?report=genbank&log$=prottop&blast_rank=12&RID=ZVA8TM44016"",""KAK9905068.1"")"
