Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Coccomyxa subellipsoidea C-169 putative plasma membrane-type proton ATPase mRNA,Coccomyxa subellipsoidea C-169,155,155,93%,2e-39,49.74,4351,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_005647818.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZWCFX0EB016"",""XM_005647818.1"")"
"Trebouxia sp. SL0000003 genome assembly, chromosome: 10",Trebouxia sp. SL0000003,153,251,83%,1e-38,86.02,3140284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ234915.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZWCFX0EB016"",""OZ234915.1"")"
Coccomyxa subellipsoidea C-169 plasma-membrane proton-e partial mRNA,Coccomyxa subellipsoidea C-169,151,151,91%,5e-38,45.31,3680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_005643676.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZWCFX0EB016"",""XM_005643676.1"")"
Monoraphidium neglectum hypothetical protein mRNA,Monoraphidium neglectum,145,145,88%,5e-36,47.49,3108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_014044259.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZWCFX0EB016"",""XM_014044259.1"")"
Auxenochlorella protothecoides Plasma membrane ATPase partial mRNA,Auxenochlorella protothecoides,137,137,89%,3e-33,42.29,2397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011398525.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZWCFX0EB016"",""XM_011398525.1"")"
"Chlamydomonas reinhardtii uncharacterized protein (CHLRE_10g459200v5), mRNA",Chlamydomonas reinhardtii,133,133,97%,1e-31,40.67,4570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_001698528.2?report=genbank&log$=nucltop&blast_rank=6&RID=ZWCFX0EB016"",""XM_001698528.2"")"
"Chlamydomonas reinhardtii putative plasma membrane-type proton ATPase (PMA2) mRNA, complete cds",Chlamydomonas reinhardtii,133,133,97%,1e-31,40.67,4870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY058212.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZWCFX0EB016"",""AY058212.1"")"
"Dunaliella maritima H+-translocating ATPase P-type mRNA, complete cds",Dunaliella maritima,130,130,87%,9e-31,40.00,3631,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK510928.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZWCFX0EB016"",""MK510928.1"")"
D.bioculata mRNA for plasma-membrane ATPase,Dunaliella bioculata,130,130,87%,1e-30,40.00,4624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X73901.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZWCFX0EB016"",""X73901.1"")"
"Volvox carteri f. nagariensis uncharacterized protein (VOLCADRAFT_103448), partial mRNA",Volvox carteri f. nagariensis,129,129,89%,3e-30,40.11,3325,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002947306.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZWCFX0EB016"",""XM_002947306.1"")"
"Dunaliella acidophila strain Sag 19.85 plasma membrane proton ATPase (dha1) mRNA, complete cds",Dunaliella acidophila,121,121,87%,1e-27,37.99,3990,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U54690.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZWCFX0EB016"",""U54690.1"")"
"Chlorella variabilis hypothetical protein (CHLNCDRAFT_133797) mRNA, complete cds",Chlorella variabilis,107,107,100%,1e-22,33.97,1656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_005847671.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZWCFX0EB016"",""XM_005847671.1"")"
Sphaeroforma arctica JP610 plasma-membrane proton-efflux P-type ATPase partial mRNA,Sphaeroforma arctica JP610,86.7,86.7,85%,2e-15,33.33,2902,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_014299083.1?report=genbank&log$=nucltop&blast_rank=13&RID=ZWCFX0EB016"",""XM_014299083.1"")"
Sphaeroforma arctica JP610 plasma-membrane proton-efflux P-type ATPase mRNA,Sphaeroforma arctica JP610,77.8,77.8,87%,2e-12,31.07,3664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_014304131.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZWCFX0EB016"",""XM_014304131.1"")"
"PREDICTED: Zophobas morio uncharacterized LOC135146240 (LOC135146240), mRNA",Zophobas morio,68.6,68.6,59%,3e-09,30.17,2923,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064078401.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZWCFX0EB016"",""XM_064078401.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,49.3,49.3,53%,0.007,30.19,805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU355528.1?report=genbank&log$=nucltop&blast_rank=16&RID=ZWCFX0EB016"",""CU355528.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.9,48.9,53%,0.009,30.19,864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU357063.1?report=genbank&log$=nucltop&blast_rank=17&RID=ZWCFX0EB016"",""CU357063.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.5,48.5,53%,0.012,30.48,792,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU355533.1?report=genbank&log$=nucltop&blast_rank=18&RID=ZWCFX0EB016"",""CU355533.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.9,48.9,53%,0.012,30.19,946,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU357861.1?report=genbank&log$=nucltop&blast_rank=19&RID=ZWCFX0EB016"",""CU357861.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.5,48.5,53%,0.013,30.19,889,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU354707.1?report=genbank&log$=nucltop&blast_rank=20&RID=ZWCFX0EB016"",""CU354707.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.5,48.5,53%,0.015,30.19,894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU351208.1?report=genbank&log$=nucltop&blast_rank=21&RID=ZWCFX0EB016"",""CU351208.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.1,48.1,53%,0.016,30.48,888,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU362838.1?report=genbank&log$=nucltop&blast_rank=22&RID=ZWCFX0EB016"",""CU362838.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.1,48.1,53%,0.017,30.48,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU356292.1?report=genbank&log$=nucltop&blast_rank=23&RID=ZWCFX0EB016"",""CU356292.1"")"
Aphanomyces euteiches cDNA,Aphanomyces euteiches,48.1,48.1,53%,0.018,30.48,926,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CU356751.1?report=genbank&log$=nucltop&blast_rank=24&RID=ZWCFX0EB016"",""CU356751.1"")"
