Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein INT43_000007 [Umbelopsis isabellina],Umbelopsis isabellina,410,410,88%,3e-138,56.69,390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2172660.1?report=genbank&log$=prottop&blast_rank=1&RID=ZUKG35SP013"",""KAG2172660.1"")"
hypothetical protein CVIRNUC_001807 [Coccomyxa viridis],Coccomyxa viridis,395,395,93%,1e-131,54.02,421,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK0748009.1?report=genbank&log$=prottop&blast_rank=2&RID=ZUKG35SP013"",""CAK0748009.1"")"
hypothetical protein WJX74_008920 [Apatococcus lobatus],Apatococcus lobatus,387,387,83%,2e-127,57.45,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9816229.1?report=genbank&log$=prottop&blast_rank=3&RID=ZUKG35SP013"",""KAK9816229.1"")"
g759 [Coccomyxa viridis],Coccomyxa viridis,384,384,85%,4e-127,59.09,450,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL5219004.1?report=genbank&log$=prottop&blast_rank=4&RID=ZUKG35SP013"",""CAL5219004.1"")"
Sulfite efflux pump SSU1 [Coccomyxa sp. Obi],Coccomyxa sp. Obi,382,382,93%,5e-127,53.44,405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA50428.1?report=genbank&log$=prottop&blast_rank=5&RID=ZUKG35SP013"",""BDA50428.1"")"
putative C4-dicarboxylate transporter/malic acid transport protein [Umbelopsis sp. PMI_123],Umbelopsis sp. PMI_123,380,380,87%,3e-126,54.73,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH8551614.1?report=genbank&log$=prottop&blast_rank=6&RID=ZUKG35SP013"",""KAH8551614.1"")"
hypothetical protein NQZ79_g7116 [Umbelopsis isabellina],Umbelopsis isabellina,326,326,71%,4e-106,58.63,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ2957131.1?report=genbank&log$=prottop&blast_rank=7&RID=ZUKG35SP013"",""KAJ2957131.1"")"
Plasma membrane sulfite pump involved in sulfite metabolism [Neofusicoccum ribis],Neofusicoccum ribis,323,323,96%,5e-104,46.17,395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL1629245.1?report=genbank&log$=prottop&blast_rank=8&RID=ZUKG35SP013"",""KAL1629245.1"")"
uncharacterized protein Z520_11319 [Fonsecaea multimorphosa CBS 102226],Fonsecaea multimorphosa CBS 102226,325,325,95%,9e-104,45.55,448,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016627169.1?report=genbank&log$=prottop&blast_rank=9&RID=ZUKG35SP013"",""XP_016627169.1"")"
uncharacterized protein Z519_03823 [Cladophialophora bantiana CBS 173.52],Cladophialophora bantiana CBS 173.52,322,322,94%,7e-103,45.41,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016621908.1?report=genbank&log$=prottop&blast_rank=10&RID=ZUKG35SP013"",""XP_016621908.1"")"
uncharacterized protein A1O5_08830 [Cladophialophora psammophila CBS 110553],Cladophialophora psammophila CBS 110553,321,321,94%,2e-102,45.41,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007747601.1?report=genbank&log$=prottop&blast_rank=11&RID=ZUKG35SP013"",""XP_007747601.1"")"
hypothetical protein AYO20_03805 [Fonsecaea nubica],Fonsecaea nubica,320,320,95%,7e-102,44.20,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022502048.1?report=genbank&log$=prottop&blast_rank=12&RID=ZUKG35SP013"",""XP_022502048.1"")"
uncharacterized protein Z518_05881 [Rhinocladiella mackenziei CBS 650.93],Rhinocladiella mackenziei CBS 650.93,318,318,94%,3e-101,45.11,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013272145.1?report=genbank&log$=prottop&blast_rank=13&RID=ZUKG35SP013"",""XP_013272145.1"")"
uncharacterized protein PV06_10086 [Exophiala oligosperma],Exophiala oligosperma,318,318,94%,6e-101,44.59,449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016258342.1?report=genbank&log$=prottop&blast_rank=14&RID=ZUKG35SP013"",""XP_016258342.1"")"
"hypothetical protein B7463_g10822, partial [Scytalidium lignicola]",Scytalidium lignicola,318,318,88%,6e-101,47.69,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RFU25517.1?report=genbank&log$=prottop&blast_rank=15&RID=ZUKG35SP013"",""RFU25517.1"")"
