Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Trebouxia decolorans clone contig_699 putative sulfite efflux pump/TDT transporter-like gene, partial sequence",Trebouxia decolorans,609,609,100%,0.0,78.66,4048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF573967.1?report=genbank&log$=nucltop&blast_rank=1&RID=ZV4EMXFF016"",""KF573967.1"")"
"Trebouxia sp. SL0000003 genome assembly, chromosome: 13",Trebouxia sp. SL0000003,599,843,100%,0.0,77.12,2733792,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ234918.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZV4EMXFF016"",""OZ234918.1"")"
"Acidithiobacillus ferrooxidans ATCC 53993, complete genome",Acidithiobacillus ferrooxidans ATCC 53993,245,458,89%,8e-68,40.23,2885038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001132.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZV4EMXFF016"",""CP001132.1"")"
"Acidithiobacillus ferrooxidans ATCC 23270, complete genome",Acidithiobacillus ferrooxidans ATCC 23270,245,458,89%,8e-68,40.23,2982397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001219.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZV4EMXFF016"",""CP001219.1"")"
"Acidithiobacillus ferrooxidans strain YQ-N3 chromosome, complete genome",Acidithiobacillus ferrooxidans,245,458,89%,8e-68,40.23,3043496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084172.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZV4EMXFF016"",""CP084172.1"")"
"Acidithiobacillus ferrooxidans NFP31 DNA, complete genome",Acidithiobacillus ferrooxidans,245,458,89%,8e-68,40.23,3205477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP025160.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZV4EMXFF016"",""AP025160.1"")"
"Acidithiobacillus ferrooxidans strain BYM chromosome, complete genome",Acidithiobacillus ferrooxidans,245,458,89%,8e-68,40.23,3208389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP082238.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZV4EMXFF016"",""CP082238.1"")"
"Acidithiobacillus ferrooxidans strain YNTRS-40 chromosome, complete genome",Acidithiobacillus ferrooxidans,245,458,89%,8e-68,40.23,3209933,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP040511.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZV4EMXFF016"",""CP040511.1"")"
"Acidithiobacillus sp. 'AMD consortium' chromosome, complete genome",Acidithiobacillus sp. 'AMD consortium',244,458,90%,2e-67,40.80,2933811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP044411.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZV4EMXFF016"",""CP044411.1"")"
"Acidithiobacillus ferridurans JCM 18981 DNA, complete genome",Acidithiobacillus ferridurans,243,457,90%,6e-67,40.52,2921399,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP018795.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZV4EMXFF016"",""AP018795.1"")"
"Burkholderia territorii strain RF8-non-BP5 chromosome 3, complete sequence",Burkholderia territorii,240,240,85%,4e-66,40.72,1014635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP013367.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZV4EMXFF016"",""CP013367.1"")"
"Galdieria sulphuraria C4-dicarboxylate transporter/malic acid transport protein, TDT family (Gasu_46930), mRNA",Galdieria sulphuraria,227,227,92%,1e-65,38.12,1365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_005704166.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZV4EMXFF016"",""XM_005704166.1"")"
"Burkholderia sp. MSMB0856 chromosome 3, complete sequence",Burkholderia sp. MSMB0856,238,238,85%,2e-65,40.42,1059546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP013429.1?report=genbank&log$=nucltop&blast_rank=13&RID=ZV4EMXFF016"",""CP013429.1"")"
"Pseudomonas brenneri strain K5-sn1400 chromosome, complete genome",Pseudomonas brenneri,236,236,94%,1e-64,37.10,6261944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP122540.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZV4EMXFF016"",""CP122540.1"")"
"Pseudomonas sp. Pc102 DNA, complete genome",Pseudomonas sp. Pc102,235,235,94%,2e-64,37.66,6682531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP021905.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZV4EMXFF016"",""AP021905.1"")"
"Pseudomonas brenneri strain BS2771 genome assembly, chromosome: I",Pseudomonas brenneri,235,235,94%,3e-64,36.83,6032706,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629800.1?report=genbank&log$=nucltop&blast_rank=16&RID=ZV4EMXFF016"",""LT629800.1"")"
"Pseudomonas tohonis strain Q4-3 chromosome, complete genome",Pseudomonas tohonis,234,234,94%,7e-64,37.66,6541745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP115820.1?report=genbank&log$=nucltop&blast_rank=17&RID=ZV4EMXFF016"",""CP115820.1"")"
"Pseudomonas tohonis TUM18999 DNA, complete genome",Pseudomonas tohonis,234,234,94%,7e-64,37.66,6826062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP023189.1?report=genbank&log$=nucltop&blast_rank=18&RID=ZV4EMXFF016"",""AP023189.1"")"
