Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Chlamydomonas reinhardtii uncharacterized protein (CHLRE_12g513200v5), mRNA",Chlamydomonas reinhardtii,553,553,99%,0.0,62.59,2152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_001702919.2?report=genbank&log$=nucltop&blast_rank=1&RID=ZWDGNATP013"",""XM_001702919.2"")"
"Volvox carteri f. nagariensis uncharacterized protein (VOLCADRAFT_79991), mRNA",Volvox carteri f. nagariensis,541,541,99%,0.0,61.43,2444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002948046.1?report=genbank&log$=nucltop&blast_rank=2&RID=ZWDGNATP013"",""XM_002948046.1"")"
"PREDICTED: Scatophagus argus gamma-enolase-like (LOC124064609), transcript variant X2, mRNA",Scatophagus argus,532,532,99%,0.0,59.86,1968,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046399237.1?report=genbank&log$=nucltop&blast_rank=3&RID=ZWDGNATP013"",""XM_046399237.1"")"
"PREDICTED: Scatophagus argus gamma-enolase-like (LOC124064609), transcript variant X1, mRNA",Scatophagus argus,532,532,99%,0.0,59.86,1900,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046399236.1?report=genbank&log$=nucltop&blast_rank=4&RID=ZWDGNATP013"",""XM_046399236.1"")"
"PREDICTED: Centropristis striata enolase 1a, (alpha) (eno1a), transcript variant X1, mRNA",Centropristis striata,531,531,99%,0.0,59.95,1828,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_059333106.1?report=genbank&log$=nucltop&blast_rank=5&RID=ZWDGNATP013"",""XM_059333106.1"")"
"Dunaliella salina enolase mRNA, complete cds",Dunaliella salina,531,531,99%,0.0,60.37,1734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY245549.1?report=genbank&log$=nucltop&blast_rank=6&RID=ZWDGNATP013"",""AY245549.1"")"
"PREDICTED: Hippocampus zosterae enolase 1a, (alpha) (eno1a), transcript variant X2, mRNA",Hippocampus zosterae,531,531,99%,0.0,59.95,1861,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052058475.1?report=genbank&log$=nucltop&blast_rank=7&RID=ZWDGNATP013"",""XM_052058475.1"")"
"PREDICTED: Centropristis striata enolase 1a, (alpha) (eno1a), transcript variant X2, mRNA",Centropristis striata,531,531,99%,0.0,59.95,1940,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_059333107.1?report=genbank&log$=nucltop&blast_rank=8&RID=ZWDGNATP013"",""XM_059333107.1"")"
"PREDICTED: Hippocampus zosterae enolase 1a, (alpha) (eno1a), transcript variant X1, mRNA",Hippocampus zosterae,530,530,99%,0.0,59.72,1861,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052058474.1?report=genbank&log$=nucltop&blast_rank=9&RID=ZWDGNATP013"",""XM_052058474.1"")"
"PREDICTED: Parambassis ranga enolase 1 (eno1), transcript variant X1, mRNA",Parambassis ranga,530,530,99%,0.0,60.19,1912,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028409540.1?report=genbank&log$=nucltop&blast_rank=10&RID=ZWDGNATP013"",""XM_028409540.1"")"
"PREDICTED: Toxotes jaculatrix enolase 1a, (alpha) (eno1a), transcript variant X2, mRNA",Toxotes jaculatrix,530,530,99%,0.0,59.95,1879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_041053807.1?report=genbank&log$=nucltop&blast_rank=11&RID=ZWDGNATP013"",""XM_041053807.1"")"
"PREDICTED: Toxotes jaculatrix enolase 1a, (alpha) (eno1a), transcript variant X1, mRNA",Toxotes jaculatrix,530,530,99%,0.0,59.72,1879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_041053798.1?report=genbank&log$=nucltop&blast_rank=12&RID=ZWDGNATP013"",""XM_041053798.1"")"
"PREDICTED: Eucyclogobius newberryi gamma-enolase-like (LOC140373918), transcript variant X1, mRNA",Eucyclogobius newberryi,530,530,99%,0.0,60.32,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072460657.1?report=genbank&log$=nucltop&blast_rank=13&RID=ZWDGNATP013"",""XM_072460657.1"")"
"PREDICTED: Parambassis ranga enolase 1 (eno1), transcript variant X3, mRNA",Parambassis ranga,530,530,99%,0.0,60.19,1918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028409542.1?report=genbank&log$=nucltop&blast_rank=14&RID=ZWDGNATP013"",""XM_028409542.1"")"
"PREDICTED: Hippocampus comes alpha-enolase (LOC109511788), transcript variant X2, mRNA",Hippocampus comes,530,530,99%,0.0,59.72,1880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019863110.1?report=genbank&log$=nucltop&blast_rank=15&RID=ZWDGNATP013"",""XM_019863110.1"")"
