Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein CHLRE_12g513200v5 [Chlamydomonas reinhardtii],Chlamydomonas reinhardtii,554,554,99%,0.0,62.59,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001702971.1?report=genbank&log$=prottop&blast_rank=1&RID=ZWD870S1016"",""XP_001702971.1"")"
hypothetical protein HXX76_000272 [Chlamydomonas incerta],Chlamydomonas incerta,553,553,99%,0.0,62.82,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2445663.1?report=genbank&log$=prottop&blast_rank=2&RID=ZWD870S1016"",""KAG2445663.1"")"
hypothetical protein M9435_006849 [Picochlorum sp. BPE23],Picochlorum sp. BPE23,550,550,99%,0.0,61.25,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8100365.1?report=genbank&log$=prottop&blast_rank=3&RID=ZWD870S1016"",""KAI8100365.1"")"
hypothetical protein HYH02_001956 [Chlamydomonas schloesseri],Chlamydomonas schloesseri,550,550,99%,0.0,62.36,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2453745.1?report=genbank&log$=prottop&blast_rank=4&RID=ZWD870S1016"",""KAG2453745.1"")"
hypothetical protein HYH03_008265 [Edaphochlamys debaryana],Edaphochlamys debaryana,550,550,99%,0.0,62.12,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2493447.1?report=genbank&log$=prottop&blast_rank=5&RID=ZWD870S1016"",""KAG2493447.1"")"
hypothetical protein M9434_002611 [Picochlorum sp. BPE23],Picochlorum sp. BPE23,549,549,99%,0.0,61.25,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8114489.1?report=genbank&log$=prottop&blast_rank=6&RID=ZWD870S1016"",""KAI8114489.1"")"
hypothetical protein PLESTB_001462800 [Pleodorina starrii],Pleodorina starrii,549,549,99%,0.0,62.82,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLC59214.1?report=genbank&log$=prottop&blast_rank=7&RID=ZWD870S1016"",""GLC59214.1"")"
hypothetical protein PLESTM_001680900 [Pleodorina starrii],Pleodorina starrii,548,548,99%,0.0,62.82,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLC45045.1?report=genbank&log$=prottop&blast_rank=8&RID=ZWD870S1016"",""GLC45045.1"")"
"hypothetical protein VaNZ11_000639, partial [Volvox africanus]",Volvox africanus,546,546,99%,0.0,62.21,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLI58870.1?report=genbank&log$=prottop&blast_rank=9&RID=ZWD870S1016"",""GLI58870.1"")"
hypothetical protein Vafri_4219 [Volvox africanus],Volvox africanus,546,546,99%,0.0,61.98,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GIL47393.1?report=genbank&log$=prottop&blast_rank=10&RID=ZWD870S1016"",""GIL47393.1"")"
