Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein [Acarospora aff. strigata],Acarospora aff. strigata,691,691,95%,0.0,80.44,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ1368705.1?report=genbank&log$=prottop&blast_rank=1&RID=ZWDGWW0H013"",""MCJ1368705.1"")"
hypothetical protein ABBQ32_000803 [Trebouxia sp. C0010 RCD-2024],Trebouxia sp. C0010 RCD-2024,671,671,100%,0.0,75.00,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3146562.1?report=genbank&log$=prottop&blast_rank=2&RID=ZWDGWW0H013"",""KAL3146562.1"")"
hypothetical protein ABBQ38_013559 [Trebouxia sp. C0009 RCD-2024],Trebouxia sp. C0009 RCD-2024,667,667,100%,0.0,74.31,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL3149733.1?report=genbank&log$=prottop&blast_rank=3&RID=ZWDGWW0H013"",""KAL3149733.1"")"
hypothetical protein WJX77_010995 [Trebouxia sp. C0004],Trebouxia sp. C0004,568,568,97%,0.0,65.64,586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0028155.1?report=genbank&log$=prottop&blast_rank=4&RID=ZWDGWW0H013"",""KAL0028155.1"")"
hypothetical protein WJX79_005220 [Trebouxia sp. C0005],Trebouxia sp. C0005,543,543,89%,0.0,67.02,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0039370.1?report=genbank&log$=prottop&blast_rank=5&RID=ZWDGWW0H013"",""KAL0039370.1"")"
glycosyltransferase [Thalictrum thalictroides],Thalictrum thalictroides,149,149,76%,9e-36,32.47,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5191493.1?report=genbank&log$=prottop&blast_rank=6&RID=ZWDGWW0H013"",""KAF5191493.1"")"
hypothetical protein E3N88_31297 [Mikania micrantha],Mikania micrantha,149,149,72%,9e-36,33.23,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAD3642073.1?report=genbank&log$=prottop&blast_rank=7&RID=ZWDGWW0H013"",""KAD3642073.1"")"
uncharacterized protein LOC109186749 [Ipomoea batatas],Ipomoea batatas,148,148,64%,3e-35,36.59,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GMC61713.1?report=genbank&log$=prottop&blast_rank=8&RID=ZWDGWW0H013"",""GMC61713.1"")"
hypothetical protein QYE76_033154 [Lolium multiflorum],Lolium multiflorum,148,148,72%,4e-35,34.15,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK1609481.1?report=genbank&log$=prottop&blast_rank=9&RID=ZWDGWW0H013"",""KAK1609481.1"")"
PREDICTED: uncharacterized protein LOC109186749 [Ipomoea nil],Ipomoea nil,148,148,64%,4e-35,36.59,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019192412.1?report=genbank&log$=prottop&blast_rank=10&RID=ZWDGWW0H013"",""XP_019192412.1"")"
uncharacterized protein LOC109186749 [Ipomoea trifida],Ipomoea trifida,147,147,64%,5e-35,35.89,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLL20878.1?report=genbank&log$=prottop&blast_rank=11&RID=ZWDGWW0H013"",""GLL20878.1"")"
"hypothetical protein GW17_00028213, partial [Ensete ventricosum]",Ensete ventricosum,145,145,89%,9e-35,30.73,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RWW08358.1?report=genbank&log$=prottop&blast_rank=12&RID=ZWDGWW0H013"",""RWW08358.1"")"
uncharacterized protein LOC124654928 [Lolium rigidum],Lolium rigidum,147,147,66%,1e-34,35.41,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047049863.1?report=genbank&log$=prottop&blast_rank=13&RID=ZWDGWW0H013"",""XP_047049863.1"")"
hypothetical protein IC582_025546 [Cucumis melo],Cucumis melo,145,145,65%,1e-34,33.45,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0536594.1?report=genbank&log$=prottop&blast_rank=14&RID=ZWDGWW0H013"",""KAL0536594.1"")"
uncharacterized protein LOC116012758 [Ipomoea triloba],Ipomoea triloba,146,146,64%,1e-34,36.24,497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031108271.1?report=genbank&log$=prottop&blast_rank=15&RID=ZWDGWW0H013"",""XP_031108271.1"")"
hypothetical protein RJ639_035362 [Escallonia herrerae],Escallonia herrerae,145,145,66%,2e-34,34.43,477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK3031205.1?report=genbank&log$=prottop&blast_rank=16&RID=ZWDGWW0H013"",""KAK3031205.1"")"
unnamed protein product [Musa acuminata subsp. malaccensis],Musa acuminata subsp. malaccensis,147,147,63%,3e-34,35.49,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG1864712.1?report=genbank&log$=prottop&blast_rank=17&RID=ZWDGWW0H013"",""CAG1864712.1"")"
uncharacterized protein LOC103495932 [Cucumis melo],Cucumis melo,145,145,65%,3e-34,33.45,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008455831.2?report=genbank&log$=prottop&blast_rank=18&RID=ZWDGWW0H013"",""XP_008455831.2"")"
unnamed protein product [Musa acuminata var. zebrina],Musa acuminata var. zebrina,146,146,63%,4e-34,35.49,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL9132954.1?report=genbank&log$=prottop&blast_rank=19&RID=ZWDGWW0H013"",""CAL9132954.1"")"
unknown [Picea sitchensis],Picea sitchensis,145,145,81%,4e-34,31.58,492,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ABR17242.1?report=genbank&log$=prottop&blast_rank=20&RID=ZWDGWW0H013"",""ABR17242.1"")"
uncharacterized protein [Lolium perenne],Lolium perenne,145,145,66%,5e-34,35.06,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_051208094.1?report=genbank&log$=prottop&blast_rank=21&RID=ZWDGWW0H013"",""XP_051208094.1"")"
uncharacterized protein LOC135652711 [Musa acuminata AAA Group],Musa acuminata AAA Group,145,145,63%,6e-34,35.49,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_065029955.1?report=genbank&log$=prottop&blast_rank=22&RID=ZWDGWW0H013"",""XP_065029955.1"")"
hypothetical protein OPV22_001202 [Ensete ventricosum],Ensete ventricosum,145,145,67%,7e-34,34.09,579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8510768.1?report=genbank&log$=prottop&blast_rank=23&RID=ZWDGWW0H013"",""KAJ8510768.1"")"
uncharacterized protein LOC103971705 [Musa acuminata AAA Group],Musa acuminata AAA Group,145,145,63%,7e-34,35.93,578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009384071.2?report=genbank&log$=prottop&blast_rank=24&RID=ZWDGWW0H013"",""XP_009384071.2"")"
