target_id	sample	est_counts	tpm	eff_len	len
GTX0536PRED_000001-T1	GTX0547	203.351854509897	35.4466088226006	3215.00833107925	3448
GTX0536PRED_000001-T1	GTX0548	191.665108421351	33.2948582538143	3214.1581450654	3448
GTX0536PRED_000001-T1	GTX0549	190.527654705731	32.6842173175179	3201.6590180968	3448
GTX0536PRED_000001-T1	XBC1	113.725955160887	19.3229671513863	3188.63810051225	3448
GTX0536PRED_000001-T1	XBC2	90.6777631757484	15.68154862551	3205.25793435923	3448
GTX0536PRED_000001-T1	XBE1	115.663482944941	19.7612590499291	3191.584	3448
GTX0536PRED_000001-T1	XBE2	64.0410416355987	10.9380430533769	3196.81251282051	3448
GTX0536PRED_000001-T1	XSC2	93.5162670920186	16.4429393939069	3220.79893238434	3448
GTX0536PRED_000001-T1	XSE2	99.8356423332911	17.5177048176356	3221.93352568022	3448
GTX0536PRED_000001-T1	XTC2	123.35096903805	21.273259365839	3203.29805546701	3448
GTX0536PRED_000001-T1	XTE2	176.621863448282	30.1664886311546	3193.3921	3448
GTX0536PRED_000002-T1	GTX0547	256.291499315267	66.2493944210965	2168.00833107925	2401
GTX0536PRED_000002-T1	GTX0548	213.03783633884	54.8867468423429	2167.1581450654	2401
GTX0536PRED_000002-T1	GTX0549	199.517404422227	50.8577777738872	2154.6590180968	2401
GTX0536PRED_000002-T1	XBC1	334.679239473467	84.6646549091737	2141.63810051225	2401
GTX0536PRED_000002-T1	XBC2	305.671814576313	78.5060602779147	2158.25793435923	2401
GTX0536PRED_000002-T1	XBE1	249.663859527494	63.4800474922897	2144.584	2401
GTX0536PRED_000002-T1	XBE2	263.125149328873	66.8282642289337	2149.81251282051	2401
GTX0536PRED_000002-T1	XSC2	168.329280765633	43.8526864380784	2173.79893238434	2401
GTX0536PRED_000002-T1	XSE2	166.392737222152	43.2510386934376	2174.93352568022	2401
GTX0536PRED_000002-T1	XTC2	321.915943587106	82.4750362117197	2156.29805546701	2401
GTX0536PRED_000002-T1	XTE2	408.103548119137	103.703605255726	2146.3921	2401
GTX0536PRED_000003-T1	GTX0547	205.169524717807	49.220624870543	2336.00833107925	2569
GTX0536PRED_000003-T1	GTX0548	219.735281031878	52.5393684708958	2335.1581450654	2569
GTX0536PRED_000003-T1	GTX0549	193.646547464515	45.7909281087781	2322.6590180968	2569
GTX0536PRED_000003-T1	XBC1	246.947788349354	57.9269496039794	2309.63810051225	2569
GTX0536PRED_000003-T1	XBC2	188.668249188251	44.9564579331038	2326.25793435923	2569
GTX0536PRED_000003-T1	XBE1	283.516586243087	66.8506414855997	2312.584	2569
GTX0536PRED_000003-T1	XBE2	221.359252610004	52.1456138732517	2317.81251282051	2569
GTX0536PRED_000003-T1	XSC2	448.878082041689	108.551218629997	2341.79893238434	2569
GTX0536PRED_000003-T1	XSE2	321.69262529616	77.6227994597397	2342.93352568022	2569
GTX0536PRED_000003-T1	XTC2	188.035013777515	44.6926109477372	2324.29805546701	2569
GTX0536PRED_000003-T1	XTE2	163.241419247655	38.4703350935927	2314.3921	2569
GTX0536PRED_000004-T1	GTX0547	455.553595857367	61.1052936074646	4178.00833107925	4411
