target_id	length	eff_length	est_counts	tpm
GTX0536PRED_000001-T1	3448	3214.16	1946	29.8358
GTX0536PRED_000002-T1	2401	2167.16	2163	49.1845
GTX0536PRED_000003-T1	2569	2335.16	2231	47.081
GTX0536PRED_000004-T1	4411	4177.16	5066	59.7649
GTX0536PRED_000005-T1	1071	837.158	1237	72.8156
GTX0536PRED_000006-T1	966	732.158	537	36.1436
GTX0536PRED_000007-T1	1876	1642.16	0	0
GTX0536PRED_000008-T1	1378	1144.16	975	41.9933
GTX0536PRED_000009-T1	1655	1421.16	559	19.3835
GTX0536PRED_000010-T1	1264	1030.16	4023	192.446
GTX0536PRED_000011-T1	1332	1098.16	445.111	19.974
GTX0536PRED_000012-T1	1041	807.158	0	0
GTX0536PRED_000013-T1	1158	924.158	1002	53.4298
GTX0536PRED_000014-T1	486	252.662	11	2.14543
GTX0536PRED_000015-T1	2188	1954.16	1122	28.294
GTX0536PRED_000016-T1	1347	1113.16	419	18.5489
GTX0536PRED_000017-T1	3621	3387.16	3967	57.715
GTX0536PRED_000018-T1	2060	1826.16	890	24.0167
GTX0536PRED_000019-T1	2023	1789.16	914	25.1744
GTX0536PRED_000020-T1	4062	3828.16	3441.88	44.3066
GTX0536PRED_000020-T2	2977	2743.16	79.116	1.42127
GTX0536PRED_000021-T1	3498	3264.16	927	13.9949
GTX0536PRED_000022-T1	1038	804.158	202.237	12.3931
GTX0536PRED_000022-T2	1051	817.158	450.317	27.1565
GTX0536PRED_000022-T3	899	665.158	59.4461	4.40413
GTX0536PRED_000023-T1	2398	2164.16	2698.51	61.4465
GTX0536PRED_000024-T1	302	77.3375	1219	776.739
GTX0536PRED_000025-T1	1264	1030.16	332	15.8817
GTX0536PRED_000026-T1	1095	861.158	1056	60.4287
GTX0536PRED_000027-T1	339	109.17	800	361.118
GTX0536PRED_000028-T1	5616	5382.16	4	0.036624
GTX0536PRED_000029-T1	2591	2357.16	649	13.5681
GTX0536PRED_000030-T1	1413	1179.16	406	16.9674
GTX0536PRED_000031-T1	696	462.158	171	18.2334
GTX0536PRED_000032-T1	1778	1544.16	623	19.8819
GTX0536PRED_000033-T1	7630	7396.16	11722	78.1012
GTX0536PRED_000034-T1	2862	2628.16	2545	47.7198
GTX0536PRED_000035-T1	405	172.482	0	0
GTX0536PRED_000036-T1	417	184.29	12	3.20878
GTX0536PRED_000037-T1	1875	1641.16	145	4.35391
GTX0536PRED_000038-T1	3714	3480.16	25.8454	0.365971
GTX0536PRED_000038-T2	4256	4022.16	230.155	2.81983
GTX0536PRED_000039-T1	339	109.17	372	167.92
GTX0536PRED_000040-T1	873	639.158	1558	120.122
GTX0536PRED_000041-T1	336	106.527	112	51.8108
GTX0536PRED_000042-T1	273	56.2574	156	136.649
GTX0536PRED_000043-T1	510	276.591	451	80.3526
GTX0536PRED_000044-T1	213	31.9109	793	1224.61
GTX0536PRED_000045-T1	495	261.62	10761	2026.95
GTX0536PRED_000046-T1	1381	1147.16	1890.11	81.1944
GTX0536PRED_000047-T1	1544	1310.16	552.308	20.774
GTX0536PRED_000047-T2	1281	1047.16	60.5817	2.85096
GTX0536PRED_000048-T1	8171	7937.16	4238	26.3122
GTX0536PRED_000049-T1	666	432.206	633	72.173
GTX0536PRED_000050-T1	668	434.206	2781	315.622
GTX0536PRED_000051-T1	3192	2958.16	60	0.999521
GTX0536PRED_000052-T1	576	342.387	0	0
GTX0536PRED_000053-T1	771	537.158	405	37.1548
GTX0536PRED_000054-T1	2635	2401.16	795	16.3158
GTX0536PRED_000055-T1	911	677.158	2446	178.003
GTX0536PRED_000056-T1	1623	1389.16	5405	191.737
GTX0536PRED_000057-T1	1089	855.158	10244	590.317
GTX0536PRED_000058-T1	7803	7569.16	2148	13.9846
GTX0536PRED_000059-T1	879	645.158	26	1.98595
GTX0536PRED_000060-T1	2399	2165.16	52	1.18352
GTX0536PRED_000060-T2	2711	2477.16	0	0
GTX0536PRED_000061-T1	303	78.1199	1011	637.751
